City,High,Low,Medium,UQ,LQ,Count,Mean,Std
台中,90000,5000,30000.0,35750.0,26000.0,74,32378.37837837838,10776.228471642851
新竹,99000,5000,35000.0,48750.0,29250.0,38,41736.84210526316,19569.961152270716
日本,600000,63000,110000.0,320000.0,66000.0,5,231800.0,206963.18513204227
桃園,80000,5000,32000.0,45000.0,28000.0,49,36632.65306122449,14977.117073002033
屏東,31000,23000,26000.0,28500.0,25000.0,7,26714.285714285714,2602.981022612657
台北,1500000,5000,34000.0,42000.0,30000.0,353,41827.1954674221,78985.43020025465
台南,130000,21000,30000.0,35000.0,27000.0,43,35906.976744186046,19005.279503323785
彰化,36000,22000,27000.0,32000.0,24000.0,9,27666.666666666668,4496.912521077347
臺中,55000,29000,42000.0,48500.0,35500.0,2,42000.0,13000.0
臺北,35000,26000,30000.0,31500.0,28500.0,6,30166.666666666668,2852.873794770615
宜蘭,37000,22000,31000.0,34750.0,26500.0,4,30250.0,5760.859310901456
東南,70000,60000,65000.0,67500.0,62500.0,2,65000.0,5000.0
嘉義,35000,21000,30000.0,34000.0,24000.0,5,28800.0,5491.812087098392
高雄,75000,20000,31000.0,37750.0,27000.0,62,33096.77419354839,8790.958840542267
苗栗,42000,24000,33000.0,37500.0,28500.0,2,33000.0,9000.0
City,High,Low,Medium,UQ,LQ,Count,Mean,Std
新竹,99000,5000,35000.0,48750.0,29250.0,38,41736.84210526316,19569.961152270716
桃園,80000,5000,32000.0,45000.0,28000.0,49,36632.65306122449,14977.117073002033
台北,1500000,5000,34000.0,42000.0,30000.0,353,41827.1954674221,78985.43020025465
東南,70000,60000,65000.0,67500.0,62500.0,2,65000.0,5000.0
雲林,110000,27000,40000.0,46000.0,33000.0,5,51200.0,30089.2007205243
台中,90000,5000,30000.0,35750.0,26000.0,74,32378.37837837838,10776.228471642851
台南,130000,21000,30000.0,35000.0,27000.0,43,35906.976744186046,19005.279503323785
宜蘭,37000,22000,31000.0,34750.0,26500.0,4,30250.0,5760.859310901456
苗栗,42000,24000,33000.0,37500.0,28500.0,2,33000.0,9000.0
